City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
370,Yuxia,CN,84.81,few clouds,34.0615,108.6291,Shanchengxuan Hotel
373,Bandarbeyla,SO,89.87,broken clouds,9.4942,50.8122,JABIR HOTEL
379,Isangel,VU,80.71,clear sky,-19.55,169.2667,Tanna Lodge
381,Ambilobe,MG,88.95,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
390,Shieli,KZ,82.26,overcast clouds,44.1667,66.75,Gostinitsa Aybek Shieli
392,Mahebourg,MU,82.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
397,Palasa,IN,87.6,clear sky,18.7667,84.4167,Balaji tifen & meals veg & non veg hotel
398,Neulengbach,AT,73.4,clear sky,48.1974,15.9022,Das Steinberger
399,Saldanha,ZA,73.45,clear sky,-33.0117,17.9442,Blue Bay Lodge
400,Koumac,NC,75.52,clear sky,-20.5667,164.2833,Le Monitel
403,Dingle,PH,80.74,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
410,Charters Towers,AU,73.76,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
415,Madang,PG,78.42,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
417,Khandbari,NP,80.6,broken clouds,27.3747,87.2039,Sainik Hotel And Lodge
418,Kahului,US,74.84,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
419,Marsh Harbour,BS,75.18,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
420,Srandakan,ID,81.73,light rain,-7.9386,110.2506,Puri Brata
421,Inhambane,MZ,76.73,light rain,-23.865,35.3833,Oceano
422,Muisne,EC,76.35,overcast clouds,0.6,-80.0333,Quinta Samay
424,Kirakira,SB,80.78,overcast clouds,-10.4544,161.9205,SanBiz Lodge
425,Yueyang,CN,76.95,overcast clouds,29.3333,113.0919,Delong Fortune Hotel
426,Sugod,PH,81.0,overcast clouds,12.987,124.0805,Jefstar Resort and Events venue
427,Ihosy,MG,75.78,scattered clouds,-22.4,46.1167,Hotely Sariaka
430,Zaoyang,CN,77.11,few clouds,32.1272,112.7542,Shanghai Hotel
432,Nabire,ID,79.68,scattered clouds,-3.3667,135.4833,Hotel Nusantara I
435,Vila Velha,BR,71.94,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
438,Alice,US,76.57,scattered clouds,27.7523,-98.0697,"Holiday Inn Express & Suites Alice, an IHG Hotel"
439,Jalu,LY,75.7,clear sky,29.0331,21.5482,صاحبة الفخامة
442,Singaraja,ID,82.65,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
443,Santa Cruz Cabralia,BR,71.83,few clouds,-16.2781,-39.0247,Puerto Princesa Inn
446,Portobelo,PA,78.12,broken clouds,9.55,-79.65,Scuba Portobelo
451,Saint-Pierre,RE,82.08,broken clouds,-21.3393,55.4781,Alize Plage
456,Sorong,ID,83.34,scattered clouds,-0.8833,131.25,Waigo Splash Hotel
459,Bac Lieu,VN,85.1,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
462,Kieta,PG,80.47,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
463,Tevaitoa,PF,81.23,broken clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
464,Nacala,MZ,83.8,scattered clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
465,San Patricio,US,79.84,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
467,Mujiayingzi,CN,79.77,scattered clouds,42.1167,118.7833,Jinjiang Hotel
471,Puerto Baquerizo Moreno,EC,70.18,broken clouds,-0.9,-89.6,Hotel los Algarrobos
473,Dabola,GN,75.11,overcast clouds,10.75,-11.1167,Hotel Tinkisso
474,Port-Gentil,GA,87.76,scattered clouds,-0.7193,8.7815,Fengshui Residence
477,Ransang,PH,82.31,overcast clouds,8.9603,117.5828,Black and Crystal Sand Campsite
479,Si Racha,TH,85.03,overcast clouds,13.1737,100.9311,Cape Racha Hotel & Serviced Apartments
480,Kavieng,PG,83.25,broken clouds,-2.5744,150.7967,Nusa Island Retreat
481,Nishihara,JP,72.68,broken clouds,26.1842,127.7558,Minshuku Agaihama
483,Japura,ID,86.04,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
484,Guayaramerin,BO,71.46,overcast clouds,-10.8368,-65.3614,Hostal Funf
487,Morondava,MG,80.96,clear sky,-20.2833,44.2833,La Case Bambou
488,Farkhor,TJ,89.74,overcast clouds,37.4922,69.4036,Khonai Abdulkhayrov
490,Kapoeta,SS,89.49,broken clouds,4.7717,33.5903,Eastgate Hotel
492,Owando,CG,84.63,light rain,-0.4819,15.8999,Exaunel Hotel Owando
494,Calabozo,VE,78.04,few clouds,8.9242,-67.4293,Hotel Giardini
496,Samana,DO,75.45,overcast clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
497,Grenville,GD,79.0,few clouds,12.1167,-61.6167,Valley Breeze Guest House
498,Aksu,CN,85.98,broken clouds,41.1231,80.2644,Pudong Holiday Hotel
499,El Fuerte,MX,71.91,broken clouds,26.4189,-108.6194,Hotel Rio Vista
500,Itacarambi,BR,70.38,few clouds,-15.1022,-44.0919,POUSADA CAMALEÃO
501,San Miguel,SV,77.07,scattered clouds,13.4833,-88.1833,Excalibur
502,Liuzhou,CN,76.1,scattered clouds,24.3126,109.3892,Linjiang Inn
503,Juba,SS,81.91,overcast clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
507,Pochutla,MX,74.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
514,Almeirim,BR,73.08,overcast clouds,-1.5233,-52.5817,Ricácio Hotel
523,Nsanje,MW,81.55,broken clouds,-16.92,35.262,Nsanje Discovery Lodge
534,Voh,NC,72.66,clear sky,-20.9667,164.7,Le gîte du Koniambo
537,Lethem,GY,76.53,overcast clouds,3.3803,-59.7968,Savannah Inn
538,Isabela,PH,82.26,broken clouds,6.7085,121.9711,Isawad Resort
544,Pamekasan,ID,82.65,overcast clouds,-7.1568,113.4746,OYO 3027 Griya Temenggungan Syariah
545,Mizdah,LY,75.29,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
548,Prainha,BR,71.83,broken clouds,-1.8,-53.48,Casa Rocha
550,Upata,VE,72.19,scattered clouds,8.0086,-62.3989,Posada Villa Nela
552,Morada Nova,BR,75.72,broken clouds,-5.1067,-38.3725,PIZZARIA MARIANA
559,Sibolga,ID,80.2,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
560,Kralendijk,BQ,79.72,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
572,Hanzhong,CN,77.05,broken clouds,33.0728,107.0303,Guorui Hotel
575,Manono,CD,83.35,scattered clouds,-7.3,27.4167,Hotel hewa bora
576,Buala,SB,81.28,scattered clouds,-8.145,159.5921,Maringe Lagoon Lodge
579,Thai Binh,VN,76.05,clear sky,20.45,106.3333,Sweden Hotel
585,Yei,SS,85.32,light rain,4.095,30.6779,City Link Hotel
587,Lugovoy,KZ,76.82,overcast clouds,42.9472,72.7644,Ж.Д Вокзал Луговая
589,Xuanhua,CN,82.17,scattered clouds,40.6103,115.0447,Jinjiang Inn Zhangjiakou Xuanhua People's Park
590,Mossendjo,CG,85.73,scattered clouds,-2.9506,12.7261,HOTEL D'ASSISE
594,Nola,IT,72.05,scattered clouds,40.922,14.5329,Palazzo Giordano Bruno
597,Voi,KE,84.51,overcast clouds,-3.3945,38.563,Voi Wildlife Lodge
599,Kariba,ZW,76.71,broken clouds,-16.5167,28.8,Caribbea Bay Hotel
600,Eha Amufu,NG,88.77,overcast clouds,6.6592,7.7596,Eden Resort
603,Linfen,CN,82.18,clear sky,36.0889,111.5189,Suoxing Hotel
604,Pemangkat,ID,83.98,overcast clouds,1.1667,108.9667,Ramah Kost KITA
609,Busayra,JO,84.78,broken clouds,30.7376,35.6078,Matan Eco Villege
612,Bitung,ID,85.05,overcast clouds,1.4451,125.1824,K2 Lembeh
620,Lumphat,KH,81.57,overcast clouds,13.4878,106.9816,Lumphat Homestay​ &​lake​side
622,Itarema,BR,77.11,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
623,Tupelo,US,71.89,scattered clouds,34.2576,-88.7034,"Hilton Garden Inn Tupelo, MS"
624,Gizo,SB,83.48,clear sky,-8.103,156.8419,Imagination Island
626,Kagadi,UG,84.34,broken clouds,0.9606,30.7967,River falls Lodge
627,Veraval,IN,87.53,clear sky,20.9,70.3667,Lords Inn Somnath
629,Soyo,AO,84.2,few clouds,-6.1349,12.3689,Hotel Mpampa
636,Phan Thiet,VN,82.78,overcast clouds,10.9333,108.1,Hotel Saigon-PT
641,Ambon,ID,89.74,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
643,Sayyan,YE,75.33,clear sky,15.1718,44.3244,ملاطف ابوحورية
645,Ningxiang,CN,71.56,clear sky,37.34,111.2052,IU Hotel Luliang Xiaoyi Zhenxing Street
652,Gaoyou,CN,71.55,clear sky,32.7858,119.4278,如家快捷酒店
656,Lingyuan,CN,81.09,scattered clouds,41.24,119.4011,Guomao Hotel
658,Garissa,KE,87.78,overcast clouds,-0.4536,39.6401,Sharif Plaza Hotel
659,Camocim,BR,76.51,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
660,Bongouanou,CI,82.22,overcast clouds,6.6486,-4.1992,Résidence KABRAN EHIA ELISABETH
662,Mumford,GH,83.86,overcast clouds,5.2618,-0.759,Spanish Villa
664,Pedernales,DO,77.47,broken clouds,18.0384,-71.744,Hotel Costa Marina
665,Montepuez,MZ,73.35,broken clouds,-13.1256,38.9997,PembaAparthotel
667,Cockburn Town,TC,77.61,few clouds,21.4612,-71.1419,Osprey Beach Hotel
677,Dicabisagan,PH,80.22,scattered clouds,17.0818,122.4157,Nancy Montanes Bernardo
678,Santa Isabel Do Rio Negro,BR,73.4,overcast clouds,-0.4139,-65.0192,Hotel GSA
680,Sabha,LY,78.28,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
682,Plettenberg Bay,ZA,71.69,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
684,Mitzic,GA,86.13,broken clouds,0.7821,11.549,Motel Emys
687,Tibacuy,CO,74.28,broken clouds,4.3511,-72.4564,hospedaje las palmas
691,Champerico,GT,81.72,scattered clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
692,Key Largo,US,77.99,overcast clouds,25.0865,-80.4473,Bayside Inn Key Largo
698,Kavaratti,IN,85.33,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
702,Lockhart,US,73.44,clear sky,28.6194,-81.4426,Courtyard by Marriott Orlando Altamonte Springs/Maitland
709,Mizan Teferi,ET,74.98,light rain,6.9833,35.5833,Hotel Salayish - ሳላይሽ ሆቴል
712,Palembang,ID,82.49,scattered clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
714,Carutapera,BR,75.36,overcast clouds,-1.195,-46.02,Lidera
