City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Talnakh,RU,69.4865,88.3972,20.21,80,66,2.93,broken clouds
80,Nanortalik,GL,60.1432,-45.2371,33.91,87,95,3.71,overcast clouds
81,Caravelas,BR,-17.7125,-39.2481,73.22,85,21,3.98,few clouds
82,Ribeira Grande,PT,38.5167,-28.7,63.0,77,75,11.5,broken clouds
83,Dawei,MM,14.0833,98.2,81.66,57,86,11.36,overcast clouds
84,Kibala,TD,9.1104,18.3463,99.14,29,90,6.69,overcast clouds
85,Penzance,GB,50.1186,-5.5371,56.08,82,20,9.22,few clouds
86,Tabuk,PH,17.4189,121.4443,79.77,82,99,0.72,overcast clouds
87,Namatanai,PG,-3.6667,152.4333,80.85,80,45,5.79,light rain
88,Yumen,CN,40.2833,97.2,80.13,5,31,22.26,scattered clouds
89,Thompson,CA,55.7435,-97.8558,24.96,74,100,4.61,overcast clouds
90,Port Blair,IN,11.6667,92.75,89.64,66,40,8.05,scattered clouds
91,Deputatskiy,RU,69.3,139.9,24.96,96,100,3.31,overcast clouds
92,Tucurui,BR,-3.7661,-49.6725,73.22,98,95,0.89,overcast clouds
93,Cherskiy,RU,68.75,161.3,21.47,95,32,3.47,scattered clouds
94,Vallenar,CL,-28.5708,-70.7581,57.96,50,0,1.43,clear sky
95,Qaanaaq,GL,77.484,-69.3632,9.77,64,29,6.62,scattered clouds
96,Biak,ID,-0.9131,122.8766,79.57,83,55,2.57,broken clouds
97,Ahuimanu,US,21.4447,-157.8378,74.91,78,100,14.97,overcast clouds
98,Geraldton,AU,-28.7667,114.6,70.21,73,0,20.71,clear sky
99,Mlonggo,ID,-6.5333,110.7,83.66,76,100,8.93,overcast clouds
100,Horki,BY,54.2861,30.9842,56.57,57,49,14.97,scattered clouds
101,Pandamatenga,BW,-18.5278,25.627,74.95,41,0,7.2,clear sky
102,Beringovskiy,RU,63.05,179.3167,11.5,93,15,7.05,few clouds
103,Vaini,TO,-21.2,-175.2,75.36,78,40,11.5,scattered clouds
